Interval,Latitude,Longitude,Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),Pollock (No. m^-2),Pacific cod (No. m^-2)
20190827204410,72.50000240000001,-168.4938236,0.08016526745889843,0.0065334187027030486,0.0,0.0,0.0
20190827204752,72.4996737,-168.46504919999995,0.3143050334515153,0.02561566185703594,0.0,0.0,0.0
20190827205130,72.4999304,-168.4373382,0.5465010463194276,0.04453949035845873,0.0,0.0,0.0
20190827205451,72.500105,-168.4096744,0.7106653574436658,0.057918778104961564,0.0,0.0,0.0
20190827205811,72.50025670000002,-168.3820948,0.7144325112272163,0.058225798760714854,0.0,0.0,0.0
20190827210130,72.5004284,-168.3545186,0.9785536596629203,0.07975150566192844,0.0,0.0,0.0
20190827210448,72.50041359999999,-168.326895,0.9107494251412712,0.07422550334210752,0.0,0.0,0.0
20190827210806,72.50035159999999,-168.2993077,0.4817960176603094,0.03926607136043633,0.0,0.0,0.0
20190827211124,72.5001613,-168.2716881,0.26862982346702646,0.021893161070547458,0.0,0.0,0.0
20190827211442,72.4999367,-168.24410859999998,0.2911495921068408,0.02372850800166681,0.0,0.0,0.0
20190827211802,72.4998428,-168.21652790000005,0.29542451310903395,0.0240769113652734,0.0,0.0,0.0
20190827212122,72.4996124,-168.1889721,0.4065618808036701,0.03313453668958024,0.0,0.0,0.0
20190827212442,72.4993559,-168.1613658,0.3181396006724835,0.02592817666539589,0.0,0.0,0.0
20190827212805,72.4993583,-168.13369540000005,0.3023546823482045,0.02464171578440242,0.0,0.0,0.0
20190827213126,72.49958170000002,-168.10613490000003,0.21441610543554726,0.017474777267238416,0.0,0.0,0.0
20190827213448,72.4998082,-168.07851619999997,0.42966833524785436,0.035017698143459994,0.0,0.0,0.0
20190827213813,72.4999622,-168.0508439,0.7543735413189023,0.06148096750503162,0.0,0.0,0.0
20190827214141,72.49977059999998,-168.0230977,1.0492710312854068,0.08551492681698672,0.0,0.0,0.0
20190827214510,72.4995733,-167.99534530000003,0.9985200174491254,0.08137875121991577,0.0,0.0,0.0
20190827214839,72.4993467,-167.9675709,1.2152029233246313,0.09903827129252335,0.0,0.0,0.0
20190827215205,72.4990308,-167.939799,1.0966733564158266,0.08937818639764815,0.0,0.0,0.0
20190827215532,72.4986328,-167.91212,0.6546973493318846,0.05335742076735349,0.0,0.0,0.0
